"sim_year","site","year","md","ave30moistureMeasure","ave30_60moistureMeasure","ave60_100moistureMeasure","totalSoilMoistureMeasure","ID_sim","DOY","Rain","Irri","bulk_density","porosity","TW0_30","TW30_60","TW60_100","allTWsim","topPorosity"
2001,1,2001,"05-21",NA,NA,NA,NA,34,141,0,0,1.15,0.56,9.03,11.94,15.92,36.89,0.57
2001,1,2001,"05-21",NA,NA,NA,NA,1,141,0,0,1.1,0.58,9.36,12.36,16.48,38.2,0.58
2001,1,2001,"05-21",NA,NA,NA,NA,68,141,0,0,1.2,0.54,8.73,11.52,15.36,35.61,0.55
2001,1,2001,"05-21",NA,NA,NA,NA,67,141,0,0,1.2,0.54,8.73,11.52,15.36,35.61,0.55
2001,1,2001,"05-21",NA,NA,NA,NA,36,141,0,0,1.15,0.56,9.03,11.94,15.92,36.89,0.57
2001,1,2001,"05-21",NA,NA,NA,NA,35,141,0,0,1.15,0.56,9.03,11.94,15.92,36.89,0.57
2001,1,2001,"05-22",NA,NA,NA,NA,3,142,0,0,1.1,0.58,8.97,12.36,16.48,37.81,0.58
2001,1,2001,"05-22",NA,NA,NA,NA,2,142,0,0,1.1,0.58,8.97,12.36,16.48,37.81,0.58
2001,1,2001,"05-22",NA,NA,NA,NA,68,142,0,0,1.2,0.54,8.34,11.52,15.36,35.22,0.55
2001,1,2001,"05-22",NA,NA,NA,NA,67,142,0,0,1.2,0.54,8.34,11.52,15.36,35.22,0.55
2001,1,2001,"05-22",NA,NA,NA,NA,1,142,0,0,1.1,0.58,8.97,12.36,16.48,37.81,0.58
2001,1,2001,"05-22",NA,NA,NA,NA,69,142,0,0,1.2,0.54,8.34,11.52,15.36,35.22,0.55
2001,1,2001,"05-22",NA,NA,NA,NA,36,142,0,0,1.15,0.56,8.64,11.94,15.92,36.5,0.57
2001,1,2001,"05-22",NA,NA,NA,NA,35,142,0,0,1.15,0.56,8.64,11.94,15.92,36.5,0.57
2001,1,2001,"05-22",NA,NA,NA,NA,34,142,0,0,1.15,0.56,8.64,11.94,15.92,36.5,0.57
2001,1,2001,"05-23",NA,NA,NA,NA,1,143,0,0,1.1,0.58,8.73,12.36,16.48,37.57,0.58
2001,1,2001,"05-23",NA,NA,NA,NA,69,143,0,0,1.2,0.54,8.1,11.52,15.36,34.98,0.55
2001,1,2001,"05-23",NA,NA,NA,NA,3,143,0,0,1.1,0.58,8.73,12.36,16.48,37.57,0.58
2001,1,2001,"05-23",NA,NA,NA,NA,2,143,0,0,1.1,0.58,8.73,12.36,16.48,37.57,0.58
2001,1,2001,"05-23",NA,NA,NA,NA,35,143,0,0,1.15,0.56,8.4,11.94,15.92,36.26,0.57
2001,1,2001,"05-23",NA,NA,NA,NA,34,143,0,0,1.15,0.56,8.4,11.94,15.92,36.26,0.57
2001,1,2001,"05-23",NA,NA,NA,NA,68,143,0,0,1.2,0.54,8.1,11.52,15.36,34.98,0.55
2001,1,2001,"05-23",NA,NA,NA,NA,67,143,0,0,1.2,0.54,8.1,11.52,15.36,34.98,0.55
2001,1,2001,"05-23",NA,NA,NA,NA,36,143,0,0,1.15,0.56,8.4,11.94,15.92,36.26,0.57
